COUNTRY	longitude	latitude
Djibouti	42.613496898789506	11.750235727618804
Egypt	30.240135435012338	26.60517034450628
Eritrea	39.26724014	15.005533147667684
Ethiopia	39.914902886544276	8.729389557048396
Greece	23.110368936161876	39.42012261727978
Iraq	43.832529181056884	33.105075667527906
Israel	35.027923472437024	31.513542220043195
Jordan	36.95728884547246	31.387064884449156
Lebanon	35.89651946324749	33.91160170722086
Palestinian Territory	35.24251184154588	31.930818736453883
South Sudan	30.38518569	7.657782041763295
Sudan	29.951458283594064	15.67060230984256
Syria	38.51173231	35.09751106058316
Turkey	35.56886764076691	38.93207363123396
Uganda	32.34371768463123	1.2821729218416205
Andorra	1.5802243611232873	42.54859834854764
United States	-96.33161661	38.82080892
France	2.1940236627886227	46.64236822
Liechtenstein	9.547674672376376	47.14627562133036
Monaco	7.412820873271196	43.74798224995656
Switzerland	8.286928794895285	46.73678128684938
Belgium	4.675010154696485	50.61821389
Germany	10.426171427430804	51.08304539800482
Luxembourg	6.103230338458876	49.77523454542369
Netherlands	5.554136426128487	52.134054128923886
Albania	20.061082767269493	41.14165894891656
Austria	13.797778364631036	47.631858269895794
Bosnia and Herzegovina	17.83467240787538	44.14415356126429
Croatia	16.625761129583374	44.91192100856702
Czech Republic	15.383273292023533	49.74917370930982
Denmark	9.378670542409406	56.00118817971057
Hungary	19.39620048366142	47.22527332486294
Italy	12.763657166123137	42.98201127614267
Montenegro	19.29505087156758	42.73694835210454
Poland	19.43573279234468	52.06848055692473
San Marino	12.461278349581722	43.942820729097896
Serbia	20.85677444395745	44.02679870131969
Slovakia	19.581015362490966	48.69808390520484
Slovenia	14.890636899973781	46.13759229564504
North Macedonia	21.70998923872772	41.59402890143112
Vatican City	12.451312917026133	41.90402351316735
Norway	16.670259272390894	64.97775882947745
Sweden	17.062431988004956	62.73420986108448
Belarus	27.964252054715104	53.46791374543163
Bulgaria	25.251739122561908	42.82043677302438
Estonia	25.916870250633806	58.648108311231034
Finland	25.65738433454702	65.01578959749911
Georgia	43.378866534112234	42.17986277737226
Latvia	24.693671325654403	56.813853047554154
Lithuania	23.946021605013534	55.29437393417175
Moldova	28.391111865941348	47.07256746
Romania	25.094158201563292	45.82454894397586
Ukraine	31.27377208442636	48.657532515563794
Afghanistan	66.59216131095278	34.13402601376932
Bahrain	50.540695402276775	26.04798501537066
India	81.17300408530181	23.586300567746722
Iran	54.237077001065444	32.906023742890056
Kuwait	47.56311109320184	29.281360965443092
Maldives	73.10076245140479	-0.606557717
Nepal	84.13388983	28.300920699755657
Oman	55.84108812	20.72428332
Pakistan	69.08835090769651	30.116188371410882
Qatar	51.19794918743203	25.318528486425386
Saudi Arabia	44.600958178225596	24.136038144757897
Somalia	45.40037867243972	6.524534573103924
Sri Lanka	80.66931169770622	7.696630939329944
Tajikistan	70.94215281065698	38.56933138382972
Turkmenistan	58.45773576	39.06069118001429
United Arab Emirates	54.27920525789581	24.18250292309135
Yemen	47.46815793206386	16.001392616307445
Armenia	45.05490831965259	40.17841274230679
Azerbaijan	48.634592670644324	40.39205099
Kazakhstan	66.37591935	47.641465195176835
Kyrgyzstan	74.17532903468319	41.35698905438358
Uzbekistan	63.85482976	41.48790652
Christmas Island	105.70209512200549	-10.4464408
Cocos Islands	96.83688767323002	-12.17124945
Indonesia	113.96538246847302	0.15591979959037652
Timor-Leste	125.95024049562659	-8.809894631
Australia	134.02277170916162	-25.69733767
Nauru	166.92937633139178	-0.522102144
New Caledonia	165.50767040438612	-21.33003373
Norfolk Island	167.95259597483337	-29.03765445
Papua New Guinea	144.8348942994695	-7.156912819
Solomon Islands	160.16475795033884	-9.613104735
Tuvalu	179.217834	-8.514701506
Vanuatu	166.84912735669738	-15.18913212
Cambodia	105.03973078680701	12.699186865507775
Laos	103.76375899026448	18.117282736873282
Malaysia	114.63330303992869	3.6716608556387857
Myanmar	97.08892285397344	19.901227931399873
Singapore	103.81025757634053	1.3528251890006349
Thailand	101.08675116214552	13.66222784745538
Vietnam	105.91338832758704	16.517347170839393
Bangladesh	90.43212562608613	23.67372867
Bhutan	90.46716647173861	27.42163933959824
China	104.69113855849604	38.07325481105728
Brunei Darussalam	114.6430958360464	4.543205889917609
Philippines	121.82208941416745	15.586542251094242
South Korea	127.76224551357649	36.402386712544114
Mongolia	103.3987360327455	47.08644454604851
North Korea	127.3379805653744	40.19198091470839
Guam	144.78024458298802	13.445430479945276
Japan	137.46934234351835	36.76738832597829
Marshall Islands	168.72016025351076	7.307929900994344
Micronesia	158.2291899444527	6.8789448129255435
Northern Mariana Islands	145.74119737203134	15.178063516432115
Palau	134.57965086721052	7.534775852547396
Russian Federation	98.67049907	59.039434214106194
Spain	-3.651625141	40.365008336683836
Canarias	-16.53799441	28.297665106525546

